Grouping,Relative,Type,Sample,Sequence
Sensitive,6.845424615,Tolerant_Dominance,Tol2,Shotgun
Less Sensitive,28.86041807,Tolerant_Dominance,Tol2,Shotgun
Others,11.69330848,Tolerant_Dominance,Tol2,Shotgun
Tolerant,52.60144687,Tolerant_Dominance,Tol3,Shotgun
Sensitive,7.020404004,Tolerant_Dominance,Tol3,Shotgun
Less Sensitive,28.8560002,Tolerant_Dominance,Tol3,Shotgun
Others,11.52214892,Tolerant_Dominance,Tol3,Shotgun
Tolerant,14.91653204,Less Sensitive_Dominance,Les1,Shotgun
Sensitive,15.77813678,Less Sensitive_Dominance,Les1,Shotgun
Less Sensitive,46.14970383,Less Sensitive_Dominance,Les1,Shotgun
Others,23.15562736,Less Sensitive_Dominance,Les1,Shotgun
Tolerant,16.81478114,Less Sensitive_Dominance,Les2,Shotgun
Sensitive,5.022113834,Less Sensitive_Dominance,Les2,Shotgun
Less Sensitive,61.0135163,Less Sensitive_Dominance,Les2,Shotgun
Others,17.14958872,Less Sensitive_Dominance,Les2,Shotgun
Tolerant,15.86771224,Less Sensitive_Dominance,Les3,Shotgun
Sensitive,4.876528177,Less Sensitive_Dominance,Les3,Shotgun
Less Sensitive,60.98972285,Less Sensitive_Dominance,Les3,Shotgun
Others,18.26603673,Less Sensitive_Dominance,Les3,Shotgun
Tolerant,18.13972404,Sensitive_Dominance,Sen1,Shotgun
Sensitive,34.27890584,Sensitive_Dominance,Sen1,Shotgun
Less Sensitive,23.22027368,Sensitive_Dominance,Sen1,Shotgun
Others,24.36109644,Sensitive_Dominance,Sen1,Shotgun
Tolerant,15.52194638,Sensitive_Dominance,Sen2,Shotgun
Sensitive,28.29550086,Sensitive_Dominance,Sen2,Shotgun
Less Sensitive,23.07692308,Sensitive_Dominance,Sen2,Shotgun
Others,33.10562969,Sensitive_Dominance,Sen2,Shotgun
Tolerant,12.32699375,Sensitive_Dominance,Sen3,Shotgun
Sensitive,23.34391257,Sensitive_Dominance,Sen3,Shotgun
Less Sensitive,23.24010881,Sensitive_Dominance,Sen3,Shotgun
Others,41.08898487,Sensitive_Dominance,Sen3,Shotgun
Tolerant,73,Tolerant_Dominance,Tol,Shotgun
Less Sensitive,20,Tolerant_Dominance,Tol,Shotgun
Sensitive,7,Tolerant_Dominance,Tol,Shotgun
Tolerant,22,Less Sensitive_Dominance,Les,Shotgun
Less Sensitive,73,Less Sensitive_Dominance,Les,Shotgun
Sensitive,5,Less Sensitive_Dominance,Les,Shotgun
Tolerant,21,Sensitive_Dominance,Sen,Shotgun
Less Sensitive,25,Sensitive_Dominance,Sen,Shotgun
Sensitive,55,Sensitive_Dominance,Sen,Shotgun
