Nematoda,Relative,Sample ,Grouping,Type,DNAcon,Sequence
Sabatieria,4.545454545,Sen,Tolerant ,Sensitive_Dominance,1,18S
Halomonhystera,2.727272727,Sen,Tolerant ,Sensitive_Dominance,0.6,18S
Leptolaimus,13.63636364,Sen,Tolerant ,Sensitive_Dominance,3,18S
Paracanthonchus,7.727272727,Sen,Less sensitive,Sensitive_Dominance,1.7,18S
Microlaimus,7.727272727,Sen,Less sensitive,Sensitive_Dominance,1.7,18S
Daptonema,9.090909091,Sen,Less sensitive,Sensitive_Dominance,2,18S
Axonolaimus,27.27272727,Sen,Sensitive,Sensitive_Dominance,6,18S
Desmolaimus,27.27272727,Sen,Sensitive,Sensitive_Dominance,6,18S
Sabatieria,1.013706451,Tol1,Tolerant ,Tolerant_Dominance,6,28S
Halomonhystera,0.464020559,Tol1,Tolerant ,Tolerant_Dominance,8,28S
Leptolaimus,0.012492861,Tol1,Tolerant ,Tolerant_Dominance,2,28S
Paracanthonchus,0.005354083,Tol1,Less sensitive,Tolerant_Dominance,1.5,28S
Microlaimus,6.128640778,Tol1,Less sensitive,Tolerant_Dominance,1,28S
Daptonema,60.99193318,Tol1,Less sensitive,Tolerant_Dominance,2,28S
Axonolaimus,0.007138777,Tol1,Sensitive,Tolerant_Dominance,0.75,28S
Desmolaimus,31.3767133,Tol1,Sensitive,Tolerant_Dominance,0.75,28S
Sabatieria,1.633819092,Tol2,Tolerant ,Tolerant_Dominance,6,28S
Halomonhystera,0.92764974,Tol2,Tolerant ,Tolerant_Dominance,8,28S
Leptolaimus,0.028888747,Tol2,Tolerant ,Tolerant_Dominance,2,28S
Paracanthonchus,0.022469025,Tol2,Less sensitive,Tolerant_Dominance,1.5,28S
Microlaimus,7.722924825,Tol2,Less sensitive,Tolerant_Dominance,1,28S
Daptonema,50.60666367,Tol2,Less sensitive,Tolerant_Dominance,2,28S
Axonolaimus,0.025678886,Tol2,Sensitive,Tolerant_Dominance,0.75,28S
Desmolaimus,39.03190601,Tol2,Sensitive,Tolerant_Dominance,0.75,28S
Sabatieria,0.662136259,Tol3,Tolerant ,Tolerant_Dominance,6,28S
Halomonhystera,0.998182859,Tol3,Tolerant ,Tolerant_Dominance,8,28S
Leptolaimus,0.547631494,Tol3,Tolerant ,Tolerant_Dominance,2,28S
Paracanthonchus,0.721877878,Tol3,Less sensitive,Tolerant_Dominance,1.5,28S
Microlaimus,9.673163568,Tol3,Less sensitive,Tolerant_Dominance,1,28S
Daptonema,60.06770716,Tol3,Less sensitive,Tolerant_Dominance,2,28S
Axonolaimus,0.007467702,Tol3,Sensitive,Tolerant_Dominance,0.75,28S
Desmolaimus,27.32183307,Tol3,Sensitive,Tolerant_Dominance,0.75,28S
Sabatieria,0.073805215,Les1,Tolerant ,Less Sensitive_Dominance,2,28S
Halomonhystera,0.299264981,Les1,Tolerant ,Less Sensitive_Dominance,1.7,28S
Leptolaimus,0.282077465,Les1,Tolerant ,Less Sensitive_Dominance,1.1,28S
Paracanthonchus,0.454963654,Les1,Less sensitive,Less Sensitive_Dominance,4,28S
Microlaimus,8.12969497,Les1,Less sensitive,Less Sensitive_Dominance,5,28S
Daptonema,77.89988777,Les1,Less sensitive,Less Sensitive_Dominance,7,28S
Axonolaimus,0.021231637,Les1,Sensitive,Less Sensitive_Dominance,0.5,28S
Desmolaimus,12.8390743,Les1,Sensitive,Less Sensitive_Dominance,0.7,28S
Sabatieria,0.317302143,Les2,Tolerant ,Less Sensitive_Dominance,2,28S
Halomonhystera,0.402090872,Les2,Tolerant ,Less Sensitive_Dominance,1.7,28S
Leptolaimus,0.14685058,Les2,Tolerant ,Less Sensitive_Dominance,1.1,28S
Paracanthonchus,0.564675443,Les2,Less sensitive,Less Sensitive_Dominance,4,28S
Microlaimus,11.01379347,Les2,Less sensitive,Less Sensitive_Dominance,5,28S
Daptonema,74.74432266,Les2,Less sensitive,Less Sensitive_Dominance,7,28S
Axonolaimus,0.005244665,Les2,Sensitive,Less Sensitive_Dominance,0.5,28S
Desmolaimus,12.80572018,Les2,Sensitive,Less Sensitive_Dominance,0.7,28S
Sabatieria,0.539789429,Les3,Tolerant ,Less Sensitive_Dominance,2,28S
Halomonhystera,0.742878522,Les3,Tolerant ,Less Sensitive_Dominance,1.7,28S
Leptolaimus,0,Les3,Tolerant ,Less Sensitive_Dominance,1.1,28S
Paracanthonchus,0.693887732,Les3,Less sensitive,Less Sensitive_Dominance,4,28S
Microlaimus,12.5336255,Les3,Less sensitive,Less Sensitive_Dominance,5,28S
Daptonema,63.17406873,Les3,Less sensitive,Less Sensitive_Dominance,7,28S
Axonolaimus,0.021377799,Les3,Sensitive,Less Sensitive_Dominance,0.5,28S
Desmolaimus,22.29437229,Les3,Sensitive,Less Sensitive_Dominance,0.7,28S
Sabatieria,0.561975207,Sen1,Tolerant ,Sensitive_Dominance,1,28S
Halomonhystera,0.218472797,Sen1,Tolerant ,Sensitive_Dominance,0.6,28S
Leptolaimus,0,Sen1,Tolerant ,Sensitive_Dominance,3,28S
Paracanthonchus,0.146087231,Sen1,Less sensitive,Sensitive_Dominance,1.7,28S
Microlaimus,3.511357954,Sen1,Less sensitive,Sensitive_Dominance,1.7,28S
Daptonema,26.76291754,Sen1,Less sensitive,Sensitive_Dominance,2,28S
Axonolaimus,0.17898976,Sen1,Sensitive,Sensitive_Dominance,6,28S
Desmolaimus,68.62019952,Sen1,Sensitive,Sensitive_Dominance,6,28S
Sabatieria,0.186665836,Sen2,Tolerant ,Sensitive_Dominance,1,28S
Halomonhystera,0.145184539,Sen2,Tolerant ,Sensitive_Dominance,0.6,28S
Leptolaimus,0,Sen2,Tolerant ,Sensitive_Dominance,3,28S
Paracanthonchus,0.101629178,Sen2,Less sensitive,Sensitive_Dominance,1.7,28S
Microlaimus,2.334359995,Sen2,Less sensitive,Sensitive_Dominance,1.7,28S
Daptonema,17.46051499,Sen2,Less sensitive,Sensitive_Dominance,2,28S
