,Comm_A1,Comm_A2,Comm_A3,Comm_B1,Comm_B2,Comm_B3,Comm_C1,Comm_C2,Comm_C3,Comm_D1,Comm_D2,Comm_D3,Grouping
18S_119,0.102091461,0,0,0,0,0,0,0.040004029,0,0,0,0,Sensitive
18S_122,0,0,0.274036123,0,0,0,0,0,0,0,0,0,Sensitive
18S_127,0,0,0,0,0,0,0.263677278,0,0,0,0,0,Sensitive
18S_129,0.006428933,0,0,0,0,0.031477215,0,0,0,0,0.026994845,0,Sensitive
18S_134,0,0,0,0.138300709,0,0,0,0,0,0,0,0,Sensitive
18S_145,0,0,0,0,0.183634031,0,0,0,0,0,0,0,Sensitive
18S_157,0,0.072025192,0,0,0,0.073331535,0,0,0,0.029767361,0,0,Sensitive
18S_158,0,0.273584063,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_160,0,0,0,0,0,0,0,0.13814341,0,0,0,0,Sensitive
18S_162,0,0,0,0,0,0,0.186771405,0,0,0,0,0,Sensitive
18S_163,0,0,0,0.107341237,0,0,0,0,0,0,0,0,Sensitive
18S_175,0,0,0,0,0,0,0,0,0,0.085950791,0,0,Sensitive
18S_186,0,0,0,0,0,0.071947921,0,0,0,0,0,0,Sensitive
18S_187,0.031116037,0.151867072,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_190,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_193,0,0,0,0,0.117340157,0,0,0,0,0,0,0,Sensitive
18S_194,0,0,0,0,0,0,0.042769082,0,0.043173099,0,0,0,Sensitive
18S_195,0,0,0,0,0,0.121066213,0,0,0,0,0,0,Sensitive
18S_199,0,0,0,0,0,0,0,0,0,0,0.091708515,0.046576157,Sensitive
18S_200,0,0,0.064233155,0,0,0,0,0,0.030133061,0,0,0,Sensitive
18S_203,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_206,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_207,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_208,0,0,0.121624909,0,0,0,0,0,0,0,0,0,Sensitive
18S_212,0,0,0.115163586,0,0,0,0,0,0,0,0,0,Sensitive
18S_215,0,0,0,0,0,0,0,0,0,0,0.107609588,0,Sensitive
18S_218,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_226,0.066089434,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_227,0,0,0,0,0,0.088205384,0,0,0,0,0,0,Sensitive
18S_228,0,0,0,0,0,0,0.021973106,0,0.00969192,0,0,0,Sensitive
18S_234,0,0,0,0.054687535,0,0,0,0,0,0,0,0,Sensitive
18S_235,0,0,0,0,0,0.018678787,0,0,0,0,0,0,Sensitive
18S_236,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_244,0,0,0,0.026891805,0,0,0,0,0,0,0,0,Sensitive
18S_247,0.05297441,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_250,0,0,0,0,0,0,0,0,0.035419563,0,0,0,Sensitive
18S_252,0,0.10999196,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_253,0,0,0,0,0,0.068142983,0,0,0,0,0,0,Sensitive
18S_256,0,0,0,0,0,0,0.075728742,0,0,0,0,0,Sensitive
18S_257,0,0,0,0,0,0,0,0,0,0,0,0.095629769,Sensitive
18S_266,0,0,0,0,0,0,0,0,0,0,0.065453255,0,Sensitive
18S_267,0,0,0,0.039772753,0,0,0,0,0,0,0,0,Sensitive
18S_268,0,0,0,0,0,0.059841299,0,0,0,0,0,0,Sensitive
18S_272,0,0,0,0,0,0,0,0.048350194,0,0,0,0,Sensitive
18S_273,0,0,0,0,0,0,0,0,0.029604411,0,0,0,Sensitive
18S_275,0,0,0,0,0,0,0.065526943,0,0,0,0,0,Sensitive
18S_278,0,0,0,0,0,0,0,0,0,0,0,0.082251511,Sensitive
18S_279,0,0,0,0,0,0,0.064742189,0,0,0,0,0,Sensitive
18S_282,0,0,0,0,0,0,0,0,0.012158955,0,0,0,Sensitive
18S_288,0,0,0,0,0,0.05188552,0,0,0,0,0,0,Sensitive
18S_289,0,0,0,0,0,0.030439505,0,0,0,0,0,0,Sensitive
18S_293,0,0,0,0,0.047731589,0,0,0,0,0,0,0,Sensitive
18S_296,0,0,0,0,0,0,0,0,0,0.027796013,0,0,Sensitive
18S_302,0,0,0,0,0,0,0,0,0,0,0,0.066395798,Sensitive
18S_305,0,0,0,0,0,0,0,0,0,0,0,0.064413834,Sensitive
18S_307,0,0,0,0,0,0,0,0.037126041,0,0,0,0,Sensitive
18S_311,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_314,0,0,0,0,0,0,0,0,0.021322225,0,0,0,Sensitive
18S_315,0,0.03238342,0,0,0,0.021100111,0,0,0,0,0,0,Sensitive
18S_320,0,0,0,0,0,0.039432995,0,0,0,0,0,0,Sensitive
18S_321,0,0,0,0,0,0.021791918,0,0,0,0.009856742,0,0,Sensitive
18S_323,0,0,0,0,0,0,0,0,0,0,0,0.054504013,Sensitive
18S_324,0,0,0,0,0,0,0,0.030794469,0,0,0,0,Sensitive
18S_328,0,0.058066822,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_331,0,0,0,0,0,0,0,0.029643273,0,0,0,0,Sensitive
18S_332,0,0,0,0,0,0,0,0.029355475,0,0,0,0,Sensitive
18S_333,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_335,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_337,0,0,0,0,0,0,0.038845313,0,0,0,0,0,Sensitive
18S_349,0.023401317,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_351,0,0.049133464,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_352,0,0,0,0,0,0,0,0,0,0.017347866,0,0,Sensitive
18S_358,0,0,0,0,0,0.029055891,0,0,0,0,0,0,Sensitive
18S_360,0,0,0,0,0,0.028709988,0,0,0,0,0,0,Sensitive
18S_372,0,0,0,0,0,0,0,0,0,0.014193709,0,0,Sensitive
18S_375,0,0,0,0,0,0.023867339,0,0,0,0,0,0,Sensitive
18S_379,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_381,0,0,0.025845293,0,0,0,0,0,0,0,0,0,Sensitive
18S_386,0,0,0,0,0,0.022829629,0,0,0,0,0,0,Sensitive
18S_389,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_413,0,0,0,0,0,0,0,0,0.009868137,0,0,0,Sensitive
18S_416,0,0,0,0.012428985,0,0,0,0,0,0,0,0,Sensitive
18S_420,0,0,0,0,0,0,0,0,0.009515704,0,0,0,Sensitive
18S_431,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_435,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_442,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_443,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_450,0,0,0,0,0,0.015219752,0,0,0,0,0,0,Sensitive
18S_453,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
