,Comm_A1,Comm_A2,Comm_A3,Comm_B1,Comm_B2,Comm_B3,Comm_C1,Comm_C2,Comm_C3,Comm_D1,Comm_D2,Comm_D3,Grouping
18S_407,0,0,0,0.013332912,0,0,0,0,0,0,0,0,Less sensitive
18S_409,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_410,0,0,0,0.01310693,0,0,0,0,0,0,0,0,Less sensitive
18S_411,0,0,0,0,0,0,0,0,0,0.000985674,0,0,Less sensitive
18S_418,0,0,0,0,0,0,0,0,0.00969192,0,0,0,Less sensitive
18S_423,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_432,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_444,0,0,0,0,0,0,0,0,0,0.002365618,0,0,Less sensitive
18S_447,0,0,0,0.01016917,0,0,0,0,0,0,0,0,Less sensitive
18S_451,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_452,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_456,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_465,0,0,0,0,0,0,0,0,0,0.007688259,0,0,Less sensitive
18S_466,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_474,0,0,0,0,0.012264367,0,0,0,0,0,0,0,Less sensitive
18S_476,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_480,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_487,0,0,0,0,0,0,0,0,0,0,0.012572942,0,Less sensitive
18S_492,0,0,0,0.00723141,0,0,0,0,0,0,0,0,Less sensitive
18S_497,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_500,0,0,0,0,0,0,0,0,0,0,0.011093772,0,Less sensitive
18S_504,0,0,0,0,0,0,0,0.008346164,0,0,0,0,Less sensitive
18S_509,0,0,0,0,0,0,0,0.008058366,0,0,0,0,Less sensitive
18S_511,0,0,0,0.002259816,0,0,0,0,0,0,0,0,Less sensitive
18S_517,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_518,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_530,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_536,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_549,0,0,0,0,0,0,0,0,0,0,0.005916678,0,Less sensitive
18S_550,0,0,0,0.002485797,0,0,0,0,0,0.000788539,0,0,Less sensitive
18S_566,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_588,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_594,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_603,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_604,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_2,41.3544991,16.34078524,26.49636646,12.54062018,8.82073142,7.324159973,19.71497742,27.95936281,18.56284682,42.07468651,49.30479029,52.55475176,Sensitive
18S_13,0,0,0,0,0,0,0.605437559,0.511994014,0.206173577,0,0,0,Sensitive
18S_26,0,0,0,0,0,0,0.296244561,0,0,0,0,0,Sensitive
18S_32,0,0.147958728,0.008361712,0,0,0.013144332,0.337051758,0.181601025,0.077006712,0,0,0,Sensitive
18S_33,0,0,0,0,0,0,0.187948536,0,0.145378804,0,0,0,Sensitive
18S_39,0.257928803,0,1.77192289,0,0,0,0,0,0,0,0,0,Sensitive
18S_53,0,0,0,0,0,0,0.109473156,0,0,0,0,0,Sensitive
18S_64,0.465197613,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_66,0,0,0,0,0,0,0,0,0,0,0,0.879496581,Sensitive
18S_71,0.383678738,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_86,0,0,0,0,0,0,0,0,0,0,0,0.542067189,Sensitive
18S_94,0,0,0,0,0.332463779,0,0,0,0,0,0,0,Sensitive
18S_100,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_101,0.147351151,0,0,0,0,0,0,0,0,0.045735283,0,0,Sensitive
18S_117,0,0,0,0.17332785,0,0,0,0,0,0,0,0,Sensitive
18S_125,0,0,0,0,0,0,0,0,0,0.133854558,0,0,Sensitive
18S_139,0,0,0,0,0,0,0,0,0,0,0,0.289366762,Sensitive
18S_141,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_142,0,0,0,0.125645742,0,0,0,0,0,0,0,0,Sensitive
18S_143,0,0,0,0,0,0,0,0,0,0.109409837,0,0,Sensitive
18S_155,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_156,0,0,0,0,0,0,0,0,0,0,0.182677445,0,Sensitive
18S_165,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_166,0.120349631,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_173,0,0,0,0.098979919,0,0,0,0,0,0,0,0,Sensitive
18S_177,0.110320495,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_184,0,0,0,0.089488694,0,0,0,0,0,0,0,0,Sensitive
18S_204,0,0,0,0,0,0,0.131053885,0,0,0,0,0,Sensitive
18S_205,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_239,0,0,0,0,0,0,0,0,0.038239031,0,0,0,Sensitive
18S_245,0,0,0,0,0,0,0,0.060725541,0,0,0,0,Sensitive
18S_274,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_280,0,0,0,0,0,0,0,0,0,0,0,0.081260529,Sensitive
18S_322,0,0,0,0,0,0,0,0,0,0,0,0.055494996,Sensitive
18S_329,0,0,0,0,0,0,0,0,0,0.020502024,0,0,Sensitive
18S_334,0,0,0,0,0,0,0,0.028779877,0,0,0,0,Sensitive
18S_336,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_344,0,0,0,0,0,0,0,0,0,0,0.034390693,0,Sensitive
18S_345,0,0,0,0,0.030495182,0,0,0,0,0,0,0,Sensitive
18S_356,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_357,0.021601216,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_363,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_378,0,0,0,0,0,0,0,0,0,0.013602304,0,0,Sensitive
18S_384,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_390,0,0,0,0,0,0,0.025504499,0,0,0,0,0,Sensitive
18S_391,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_392,0,0,0,0,0.02121404,0,0,0,0,0,0,0,Sensitive
18S_395,0,0,0,0,0,0,0,0.018131323,0,0,0,0,Sensitive
18S_402,0,0,0,0,0,0,0,0,0,0.011828091,0,0,Sensitive
18S_403,0,0,0,0,0,0,0,0,0,0,0.022187544,0,Sensitive
18S_412,0,0,0,0,0,0,0.022365483,0,0,0,0,0,Sensitive
18S_425,0,0,0,0,0,0,0,0,0,0,0.019598997,0,Sensitive
18S_434,0,0,0,0,0,0,0,0,0,0.009856742,0,0,Sensitive
18S_441,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_461,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_481,0,0,0,0,0,0,0,0,0.006167586,0,0,0,Sensitive
18S_486,0,0,0,0,0,0,0,0,0,0,0.012572942,0,Sensitive
18S_496,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_501,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_503,0,0,0,0,0,0,0.01137893,0,0,0,0,0,Sensitive
18S_505,0,0,0,0,0,0,0,0.008346164,0,0,0,0,Sensitive
18S_513,0,0,0,0,0,0,0,0,0,0,0,0.013378258,Sensitive
18S_546,0,0,0,0,0,0,0,0,0,0,0,0.008423348,Sensitive
18S_567,0.002571573,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_571,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_457,0,0,0,0.009265244,0,0,0,0,0,0,0,0,Other metazoan
18S_191,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_198,0,0,0,0,0,0,0,0,0,0.068011521,0,0,Other metazoan
18S_233,0,0,0,0,0,0,0,0,0,0.048100901,0,0,Other metazoan
18S_241,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_246,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_259,0,0,0,0,0.062647711,0,0,0,0,0,0,0,Other metazoan
18S_270,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_283,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_297,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_304,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_309,0,0,0,0,0.04209661,0,0,0,0,0,0,0,Other metazoan
18S_330,0,0,0,0,0,0,0.040414821,0,0,0,0,0,Other metazoan
18S_380,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_382,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_59,0,0,0.811846266,0,0,0,0,0,0,0,0,0,Other metazoan
18S_62,0,0,0,0,0,0,0,0,0.340626944,0,0,0,Other metazoan
18S_63,0,0,0,0,0,0,0,0,0.326000955,0,0,0,Other metazoan
18S_68,0,0,0.618006568,0,0,0,0,0,0,0,0,0,Other metazoan
18S_72,0,0.83136055,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_81,0,0.713551903,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_83,0.302159864,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_87,0,0,0,0,0,0,0,0,0.191900022,0,0,0,Other metazoan
18S_89,0,0,0.406683289,0,0,0,0,0,0,0,0,0,Other metazoan
18S_91,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_97,0.247128196,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_102,0,0,0,0,0,0,0.351962081,0,0,0,0,0,Other metazoan
18S_113,0,0,0,0,0,0,0.315078652,0,0,0,0,0,Other metazoan
18S_116,0,0,0,0,0,0,0,0,0.136039317,0,0,0,Other metazoan
18S_118,0,0,0,0,0,0,0,0,0,0.150611019,0,0,Other metazoan
18S_121,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_126,0,0.375759335,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_128,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_130,0,0,0,0.147791934,0,0,0,0,0,0,0,0,Other metazoan
18S_131,0,0,0,0,0,0,0,0,0,0.128926187,0,0,Other metazoan
18S_133,0.159694703,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_138,0,0.326067536,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_140,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_144,0.142465162,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_147,0,0,0,0,0,0,0,0,0.095861902,0,0,0,Other metazoan
18S_161,0,0,0,0,0,0,0.187163782,0,0,0,0,0,Other metazoan
18S_169,0,0,0,0.102595624,0,0,0,0,0,0,0,0,Other metazoan
18S_178,0,0,0.160772926,0,0,0,0,0,0,0,0,0,Other metazoan
18S_180,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_189,0,0,0,0,0,0,0,0,0,0.075896914,0,0,Other metazoan
18S_196,0,0,0,0,0,0,0,0,0,0.068602925,0,0,Other metazoan
18S_211,0,0,0,0.070054281,0,0,0,0,0,0,0,0,Other metazoan
18S_216,0,0,0,0,0,0,0.113004548,0,0,0,0,0,Other metazoan
18S_230,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_232,0,0,0,0.05536548,0,0,0,0,0,0,0,0,Other metazoan
18S_251,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_262,0,0.103291942,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_264,0,0.102175272,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_295,0,0,0,0,0,0,0,0,0.024846559,0,0,0,Other metazoan
18S_303,0,0.073700197,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_325,0,0.059183491,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_367,0,0.042433446,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_368,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_369,0.0192868,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_463,0,0.021775058,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_467,0,0.021216723,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_417,0,0,0,0,0,0,0.02158073,0,0,0,0,0,Other metazoan
18S_174,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_1,31.91116757,32.82562087,35.55514169,34.13089755,39.70041798,36.84079447,39.30439423,10.32017613,10.98728949,7.706000982,6.350814653,5.954315727,Tolerant
18S_10,2.40339242,3.593442916,2.010991851,1.899148953,1.488960413,1.449335519,1.501234025,0.25297512,0.454286736,0.361348166,0.404183092,0.270042612,Tolerant
18S_40,0,0,0,0,0,0,0,0,0,0,0,2.280745219,Tolerant
18S_92,0,0,0,0.058981185,0,0,0,0.008633963,0,0,0.052140728,0,Tolerant
18S_95,0,0,0,0.038868827,0.053366569,0.034590347,0,0,0,0,0,0,Tolerant
18S_263,0,0,0,0,0,0,0,0,0,0,0,0.091665841,Tolerant
18S_338,0,0,0,0,0,0,0,0,0,0,0,0,Tolerant
18S_473,0.001542944,0,0,0.001129908,0.000662939,0,0.002354261,0,0,0,0,0,Tolerant
18S_556,0,0,0,0,0,0,0,0,0,0,0,0,Tolerant
18S_564,0,0.002233339,0,0,0,0,0,0,0,0,0,0,Tolerant
18S_568,0,0,0,0,0,0,0,0,0.001762167,0,0,0,Tolerant
18S_21,1.553487439,1.324928533,1.163798346,0.118640314,0.211145989,0.038395285,0.010594176,0.130660642,0.151898823,0,0,0.090674859,Tolerant
18S_69,0.158666073,0.120041987,0.104521406,0,0,0,0,0.037989438,0,0,0,0,Tolerant
18S_98,0,0,0,0,0,0,0,0,0,0,0,0,Tolerant
18S_106,0.084861919,0.112783634,0,0,0,0,0,0,0,0,0,0,Tolerant
18S_123,0,0,0.023944904,0,0,0,0,0,0.110311675,0,0,0,Tolerant
18S_135,0.102862933,0,0,0,0,0,0,0,0,0,0,0,Tolerant
18S_179,0.063003546,0.037966768,0,0,0,0,0,0,0.018678974,0,0,0,Tolerant
18S_183,0.047831264,0.031825085,0.028505838,0.004971594,0,0,0,0,0,0,0,0,Tolerant
18S_254,0,0,0,0,0,0,0,0,0,0,0,0,Tolerant
18S_281,0.009771979,0.008375022,0.006081245,0,0,0,0,0,0,0,0,0,Tolerant
18S_312,0.031373194,0,0,0,0,0,0,0,0,0,0,0,Tolerant
18S_313,0.031116037,0,0,0,0,0,0,0,0,0,0,0,Tolerant
18S_327,0,0.013400036,0.001140234,0,0,0,0,0,0.002995684,0,0,0,Tolerant
18S_404,0,0,0,0,0,0,0,0,0,0,0,0,Tolerant
18S_515,0,0,0,0,0,0,0,0,0,0,0,0,Tolerant
18S_570,0,0,0,0,0,0,0,0,0,0,0,0,Tolerant
18S_607,0,0,0,0,0,0,0,0,0,0,0,0,Tolerant
18S_547,0,0,0,0,0,0,0,0,0,0.003154157,0,0,Other metazoan
18S_342,0,0,0,0.009265244,0.017567877,0,0,0,0,0,0,0,Other metazoan
18S_285,0,0,0,0,0,0,0,0,0,0.030358766,0,0,Other metazoan
18S_531,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_553,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_11,0,0,0,0,0,0,0,0,0,17.95109873,0,0,Other metazoan
18S_36,0,0.478492943,0,0,0,0,0.04943949,0,0.038943898,0,0,0.165989496,Less sensitive
18S_56,0.016458069,0,0.047889808,0,0,0,0.164798299,0.042594218,0.062380723,0.031541575,0,0.09117035,Less sensitive
18S_82,0,0,0,0.273663658,0,0,0,0,0,0,0,0,Other metazoan
18S_104,0,0,0,0,0,0.301973725,0,0,0,0,0,0,Other metazoan
18S_159,0,0,0,0,0,0,0,0,0.085112682,0,0,0,Other metazoan
18S_171,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_182,0,0.031825085,0,0,0,0,0.02275786,0.043745413,0.017974107,0,0,0,Other metazoan
18S_185,0,0,0,0,0,0,0.02785876,0.044033212,0.014097339,0.010645281,0,0,Less sensitive
18S_197,0,0,0.033826928,0,0.018230815,0,0,0,0.019560057,0,0.014421904,0,Less sensitive
18S_213,0,0,0,0,0,0.026288663,0.068273581,0.014965536,0,0,0,0,Less sensitive
18S_220,0,0,0.104141328,0,0,0,0,0,0,0,0,0,Other metazoan
18S_237,0,0,0,0,0,0.005880359,0.069058335,0.003741384,0,0.004534101,0,0,Less sensitive
18S_255,0,0.107758621,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_260,0.00385736,0,0,0,0,0,0,0,0.028370894,0,0,0,Less sensitive
18S_291,0,0,0,0,0,0,0,0,0,0,0,0.030224953,Less sensitive
18S_298,0,0,0,0,0,0,0.054932766,0,0,0,0,0,Less sensitive
18S_310,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_326,0,0,0,0,0,0.031131312,0,0,0,0,0,0,Other metazoan
18S_341,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_343,0,0,0,0,0,0,0,0,0,0,0.034390693,0,Other metazoan
18S_355,0,0,0,0,0,0,0,0,0,0,0.032171939,0,Less sensitive
18S_359,0,0,0,0,0,0,0,0,0,0,0.011093772,0,Other metazoan
18S_366,0,0,0,0,0,0,0,0.012087548,0,0,0,0,Less sensitive
18S_370,0,0,0,0,0,0,0,0,0.012863821,0,0,0,Less sensitive
18S_376,0,0,0,0,0,0,0.027074006,0,0,0,0,0,Less sensitive
18S_396,0,0,0,0,0,0,0,0,0.011101654,0,0,0,Other metazoan
18S_400,0,0,0,0,0,0,0.014910322,0,0,0.004534101,0,0,Other metazoan
18S_401,0,0,0,0,0,0,0,0.017267926,0,0,0,0,Other metazoan
18S_408,0,0,0,0,0,0,0.023150237,0,0,0,0,0,Less sensitive
18S_414,0,0,0,0,0,0,0,0,0,0,0,0.027747498,Other metazoan
18S_421,0,0,0,0,0,0,0,0,0.009515704,0,0,0,Less sensitive
18S_426,0,0,0,0,0,0,0,0,0.00916327,0,0,0,Less sensitive
18S_427,0,0,0,0,0,0,0,0,0,0.010251012,0,0,Other metazoan
18S_428,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_436,0,0,0.018623814,0,0,0,0,0,0,0,0,0,Less sensitive
18S_437,0,0,0,0,0,0,0,0,0.00863462,0,0,0,Less sensitive
18S_440,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_445,0,0,0,0,0,0,0,0,0,0,0,0.006936874,Other metazoan
18S_460,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_471,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_472,0.009514821,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_475,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_488,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_490,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_495,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_502,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_519,0,0,0,0,0,0,0.009417046,0,0,0,0,0,Other metazoan
18S_521,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_523,0,0,0,0,0,0,0,0.006619372,0,0,0,0,Other metazoan
18S_528,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_534,0,0,0,0,0,0,0,0,0.003524335,0,0,0,Other metazoan
18S_535,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_555,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_558,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_562,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_563,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_565,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_569,0,0,0,0,0,0,0,0,0,0.001971348,0,0,Other metazoan
18S_574,0,0.005025013,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_576,0,0,0,0,0,0,0,0,0,0.001774214,0,0,Other metazoan
18S_581,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_583,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_584,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_585,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_586,0,0,0.002660545,0,0,0,0,0,0,0,0,0,Other metazoan
18S_590,0,0,0,0,0,0,0,0.001726793,0,0,0,0,Other metazoan
18S_591,0,0,0,0,0,0,0,0,0,0,0.002218754,0,Other metazoan
18S_596,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_597,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_598,0,0,0,0,0,0,0,0,0,0,0.00147917,0,Other metazoan
18S_600,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_602,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_605,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_606,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_54,0,0,0,0,0,0,0.96877857,0,0,0,0,0,Less sensitive
18S_152,0,0,0,0,0,0,0.198150335,0,0,0,0,0,Less sensitive
18S_249,0,0,0,0,0,0,0.078867757,0,0,0,0,0,Less sensitive
18S_448,0,0,0,0,0,0,0.017656961,0,0,0,0,0,Less sensitive
18S_468,0,0,0,0,0,0,0.014910322,0,0,0,0,0,Less sensitive
18S_469,0,0,0,0,0,0,0.014910322,0,0,0,0,0,Less sensitive
18S_470,0,0,0,0,0,0,0.014910322,0,0,0,0,0,Less sensitive
18S_494,0,0,0,0,0,0,0.012556061,0,0,0,0,0,Less sensitive
18S_522,0,0,0,0,0,0,0,0.006619372,0,0,0,0,Other metazoan
18S_4,5.093258106,6.184116491,13.29702323,26.21770159,19.91467978,20.48163599,0.463397121,0.999237333,0.104144089,3.233405682,5.110161156,2.245069864,Tolerant
18S_75,0,0,0,0.323153618,0,0,0,0,0,0,0,0,Tolerant
18S_76,0,0,0,0,0,0,0,0,0,0,0.527693753,0,Tolerant
18S_154,0,0,0,0,0.165071747,0,0,0,0,0,0,0,Tolerant
18S_176,0,0,0,0.09762403,0,0,0,0,0,0,0,0,Tolerant
18S_210,0,0,0,0,0.104081382,0,0,0,0,0,0,0,Tolerant
18S_217,0.07226121,0,0,0,0,0,0,0,0,0,0,0,Tolerant
18S_261,0,0,0,0,0,0,0,0,0,0,0.068781386,0,Tolerant
18S_265,0,0.101616938,0,0,0,0,0,0,0,0,0,0,Tolerant
18S_299,0,0,0,0,0,0.047734678,0,0,0,0,0,0,Tolerant
18S_374,0,0,0,0.015592727,0,0,0,0,0,0,0,0,Tolerant
18S_493,0,0,0,0.00723141,0,0,0,0,0,0,0,0,Tolerant
18S_529,0,0,0,0,0,0,0,0,0,0,0,0,Tolerant
18S_446,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_512,0,0,0,0,0,0,0,0,0.0010573,0,0,0,Other metazoan
18S_44,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_387,0,0,0,0,0,0,0,0,0.011630304,0,0,0,Other metazoan
